"raceId","circuit","circuitId","date","min_millis"
959,"hockenheimring",10,2016-07-31,81256.7164179104
960,"spa",13,2016-08-28,121888
961,"monza",14,2016-09-04,87699.7924528302
962,"marina_bay",15,2016-09-18,113917.213114754
963,"sepang",2,2016-10-02,103314.3
964,"suzuka",22,2016-10-09,98176.0943396226
965,"americas",69,2016-10-23,105225.321428571
966,"rodriguez",32,2016-10-30,84949.323943662
967,"interlagos",18,2016-11-13,112979.578947368
968,"yas_marina",24,2016-11-27,106982.054545455
969,"albert_park",1,2017-03-26,88625.8245614035
970,"shanghai",17,2017-04-09,104574.25
971,"bahrain",3,2017-04-16,97499.0909090909
972,"sochi",71,2017-04-30,101706.596153846
973,"catalunya",4,2017-05-14,87219.6515151515
974,"monaco",6,2017-05-28,79337.8666666667
975,"villeneuve",7,2017-06-11,79787.9142857143
976,"baku",73,2017-06-25,110943.333333333
977,"red_bull_ring",70,2017-07-09,69134.1267605634
978,"silverstone",9,2017-07-16,95831.9607843137
979,"hungaroring",11,2017-07-30,85524.4714285714
980,"spa",13,2017-08-27,111904.571428571
981,"monza",14,2017-09-03,85515.320754717
982,"marina_bay",15,2017-09-17,127647.310344828
983,"sepang",2,2017-10-01,96451.6071428571
984,"suzuka",22,2017-10-08,99079.1320754717
985,"americas",69,2017-10-22,100553.410714286
986,"rodriguez",32,2017-10-29,81500.7323943662
987,"interlagos",18,2017-11-12,77271.2957746479
988,"yas_marina",24,2017-11-26,102801.127272727
989,"albert_park",1,2018-03-25,91369.9166666667
990,"bahrain",3,2018-04-08,96876.1403508772
991,"shanghai",17,2018-04-15,102435.357142857
992,"baku",73,2018-04-29,115820.41025641
993,"catalunya",4,2018-05-13,86817.7575757576
994,"monaco",6,2018-05-27,79164.1923076923
995,"villeneuve",7,2018-06-10,78108.4852941177
996,"ricard",34,2018-06-24,102101.603773585
997,"red_bull_ring",70,2018-07-01,69239.7746478873
998,"silverstone",9,2018-07-08,95937.5
999,"hockenheimring",10,2018-07-22,79092
1000,"hungaroring",11,2018-07-29,83377.5285714286
1001,"spa",13,2018-08-26,113965.363636364
1002,"monza",14,2018-09-02,87065.7358490566
1003,"marina_bay",15,2018-09-16,109370.672131148
1004,"sochi",71,2018-09-30,98965.679245283
1005,"suzuka",22,2018-10-07,98812.4905660377
1006,"americas",69,2018-10-21,101047.196428571
1007,"rodriguez",32,2018-10-28,83160.4754098361
1008,"interlagos",18,2018-11-11,73648.8169014085
1009,"yas_marina",24,2018-11-25,108734.218181818
1010,"albert_park",1,2019-03-17,88402.1551724138
1011,"bahrain",3,2019-03-31,98564.2641509434
1012,"shanghai",17,2019-04-14,98684.8214285714
1013,"baku",73,2019-04-28,108096.901960784
1014,"catalunya",4,2019-05-12,85034.3181818182
1015,"monaco",6,2019-05-26,79595.3461538462
1016,"villeneuve",7,2019-06-09,76367.7428571429
1017,"ricard",34,2019-06-23,95682.9811320755
1018,"red_bull_ring",70,2019-06-30,69321.4366197183
1019,"silverstone",9,2019-07-14,93624.0769230769
1020,"hockenheimring",10,2019-07-28,96379.8148148148
1021,"hungaroring",11,2019-08-04,81482.8
1022,"spa",13,2019-09-01,114220.681818182
1023,"monza",14,2019-09-08,85408.7735849057
1024,"marina_bay",15,2019-09-22,111061.823529412
1025,"sochi",71,2019-09-29,104974.230769231
1026,"suzuka",22,2019-10-13,94360.6730769231
1027,"rodriguez",32,2019-10-27,81815.5492957746
1028,"americas",69,2019-11-03,100636.660714286
1029,"interlagos",18,2019-11-17,74513.3137254902
1030,"yas_marina",24,2019-12-01,102649.363636364
1031,"red_bull_ring",70,2020-07-05,71762.6666666667
1032,"red_bull_ring",70,2020-07-12,70009.6197183099
1033,"hungaroring",11,2020-07-19,82463.9
1034,"silverstone",9,2020-08-02,101563.134615385
1035,"silverstone",9,2020-08-09,91961.4038461538
1036,"catalunya",4,2020-08-16,83413.3181818182
1037,"spa",13,2020-08-30,113728
1038,"monza",14,2020-09-06,89167.7647058823
1039,"mugello",76,2020-09-13,130779.714285714
1040,"sochi",71,2020-09-27,106421.962264151
1041,"nurburgring",20,2020-10-11,94655.9761904762
1042,"portimao",75,2020-10-25,81770.1212121212
1043,"imola",21,2020-11-01,79672.96
1044,"istanbul",5,2020-11-15,105850.224137931
1045,"bahrain",3,2020-11-29,126096.754385965
1046,"bahrain",3,2020-12-06,62932.3448275862
1047,"yas_marina",24,2020-12-13,105248.090909091
1052,"bahrain",3,2021-03-28,98641.0178571429
1053,"imola",21,2021-04-18,101964.833333333
1054,"portimao",75,2021-05-02,85930.6212121212
1055,"catalunya",4,2021-05-09,84661.8181818182
1056,"monaco",6,2021-05-23,76113.0769230769
1057,"baku",73,2021-06-06,108112.482758621
1059,"ricard",34,2021-06-20,98976.7924528302
1058,"red_bull_ring",70,2021-06-27,69562.323943662
1060,"red_bull_ring",70,2021-07-04,70909.0563380282
1061,"silverstone",9,2021-07-18,136601.615384615
1062,"hungaroring",11,2021-08-01,106902.842857143
1063,"spa",13,2021-08-29,207071
1064,"zandvoort",39,2021-09-05,75074.9305555556
1065,"monza",14,2021-09-12,87689.4
1066,"sochi",71,2021-09-26,102660.396226415
1067,"istanbul",5,2021-10-10,94208.6724137931
1069,"americas",69,2021-10-24,101367
1070,"rodriguez",32,2021-11-07,83367.4084507042
1071,"interlagos",18,2021-11-14,78068.323943662
1051,"losail",78,2021-11-21,88920.5438596491
1072,"jeddah",77,2021-12-05,98543
1073,"yas_marina",24,2021-12-12,91524.1818181818
1074,"bahrain",3,2022-03-20,100781.022727273
1075,"jeddah",77,2022-03-27,98876.1428571429
1076,"albert_park",1,2022-04-10,90802.5517241379
1077,"imola",21,2022-04-24,87745.8095238095
1078,"miami",79,2022-05-08,96139.5384615385
1079,"catalunya",4,2022-05-22,88492.0454545455
1080,"monaco",6,2022-05-29,103646.083333333
1081,"baku",73,2022-06-12,109805.75
1082,"villeneuve",7,2022-06-19,81366
1083,"silverstone",9,2022-07-03,159044.442307692
1084,"red_bull_ring",70,2022-07-10,71160.4642857143
1085,"ricard",34,2022-07-24,99114.2352941177
1086,"hungaroring",11,2022-07-31,85370.1714285714
1087,"spa",13,2022-08-28,117111.227272727
1088,"zandvoort",39,2022-09-04,80008.9811320755
1089,"monza",14,2022-09-11,88488.5333333333
1091,"marina_bay",15,2022-10-02,124326.06779661
1092,"suzuka",22,2022-10-09,132285.857142857
1093,"americas",69,2022-10-23,105768.9375
1094,"rodriguez",32,2022-10-30,83334.2112676056
1095,"interlagos",18,2022-11-13,82711.64
1096,"yas_marina",24,2022-11-20,90791.6206896552
